state_id,city,state,lat,lng
644acdf0a6ac80d10e860559,West Havre,Montana,48.5471,-109.731
644acdf0a6ac80d10e860531,Nolic,Arizona,32.0341,-111.9549
644acdf0a6ac80d10e86054d,Hallowell,Kansas,37.1733,-95.0027
644acdf0a6ac80d10e860529,Keddie,California,40.0059,-120.9523
644acdf0a6ac80d10e860559,Glen,Montana,45.4789,-112.6918
644acdf0a6ac80d10e86052e,Gough,Georgia,33.088,-82.2286
644acdf0a6ac80d10e86054a,Bon Air,Alabama,33.2621,-86.3319
644acdf0a6ac80d10e86054e,Evansville,Arkansas,35.7924,-94.4911
644acdf0a6ac80d10e860531,Theba,Arizona,32.9181,-112.8903
644acdf0a6ac80d10e86054c,Percival,Iowa,40.7513,-95.8133
644acdf0a6ac80d10e86052d,Maxatawny,Pennsylvania,40.5413,-75.6919
644acdf0a6ac80d10e860549,Valencia,New Mexico,35.578,-105.7908
644acdf0a6ac80d10e86055b,Cora,Wyoming,42.9576,-109.9916
644acdf0a6ac80d10e86053e,Hilltown,Virginia,36.729,-80.9822
644acdf0a6ac80d10e860548,Reynolds,Nebraska,40.0598,-97.3359
644acdf0a6ac80d10e86054e,Patmos,Arkansas,33.5112,-93.5679
644acdf0a6ac80d10e860544,Hallett,Oklahoma,36.2319,-96.5679
644acdf0a6ac80d10e86052c,Valentine,Texas,30.5886,-104.4953
644acdf0a6ac80d10e860542,Dukedom,Tennessee,36.4949,-88.7163
644acdf0a6ac80d10e86053d,Macon,North Carolina,36.4396,-78.0839
644acdf0a6ac80d10e860534,Dundee,Minnesota,43.844,-95.4666
644acdf0a6ac80d10e86054a,Ridgeville,Alabama,34.0569,-86.1029
644acdf0a6ac80d10e86053b,Kanauga,Ohio,38.8411,-82.1495
644acdf0a6ac80d10e860534,Fort Ripley,Minnesota,46.169,-94.363
644acdf0a6ac80d10e860548,Crookston,Nebraska,42.9263,-100.7534
644acdf0a6ac80d10e860534,Beltrami,Minnesota,47.5425,-96.527
644acdf0a6ac80d10e860559,Opheim,Montana,48.8571,-106.4084
644acdf0a6ac80d10e860552,Diomede,Alaska,65.7536,-168.9219
644acdf0a6ac80d10e860529,Proberta,California,40.0761,-122.1776
644acdf0a6ac80d10e860538,Edinburg,Missouri,40.0811,-93.6898
644acdf0a6ac80d10e86052c,Normanna,Texas,28.5277,-97.7831
644acdf0a6ac80d10e860549,Las Nutrias,New Mexico,34.4699,-106.7708
644acdf0a6ac80d10e860548,Harbine,Nebraska,40.1916,-96.9743
644acdf0a6ac80d10e86054d,Galesburg,Kansas,37.4721,-95.3563
644acdf0a6ac80d10e86052d,Mount Eagle,Pennsylvania,40.9799,-77.7058
644acdf0a6ac80d10e860538,Rutledge,Missouri,40.3139,-92.0876
644acdf0a6ac80d10e860544,Deer Lick,Oklahoma,36.4595,-94.7468
644acdf0a6ac80d10e860555,Kathryn,North Dakota,46.6812,-97.9704
644acdf0a6ac80d10e86054c,Vining,Iowa,41.991,-92.3873
644acdf0a6ac80d10e860538,Coney Island,Missouri,36.593,-93.3972
644acdf0a6ac80d10e86052c,Del Mar Heights,Texas,26.0567,-97.4236
644acdf0a6ac80d10e86054d,Goff,Kansas,39.6641,-95.9317
644acdf0a6ac80d10e860534,Burtrum,Minnesota,45.8658,-94.6874
644acdf0a6ac80d10e860534,Kenneth,Minnesota,43.7543,-96.0725
644acdf0a6ac80d10e860531,Ali Molina,Arizona,31.9025,-111.7804
644acdf0a6ac80d10e86055b,Alcova,Wyoming,42.5543,-106.7263
644acdf0a6ac80d10e860534,Seaforth,Minnesota,44.4761,-95.331
644acdf0a6ac80d10e860544,Mulberry,Oklahoma,35.8631,-94.7014
644acdf0a6ac80d10e860555,Coleharbor,North Dakota,47.5425,-101.2214
644acdf0a6ac80d10e860538,Pierpont,Missouri,38.8633,-92.3129
644acdf0a6ac80d10e860538,McKittrick,Missouri,38.7387,-91.4443
644acdf0a6ac80d10e86054d,Longford,Kansas,39.1721,-97.329
644acdf0a6ac80d10e860555,Esmond,North Dakota,48.033,-99.7647
644acdf0a6ac80d10e86054e,Coy,Arkansas,34.5405,-91.8713
644acdf0a6ac80d10e86054d,Hunter,Kansas,39.2349,-98.396
644acdf0a6ac80d10e860556,Whitmer,West Virginia,38.8149,-79.5451
644acdf0a6ac80d10e86054d,Chautauqua,Kansas,37.0241,-96.1774
644acdf0a6ac80d10e86052a,Rockport,Illinois,39.5391,-91.0128
644acdf0a6ac80d10e860557,Herrick,South Dakota,43.115,-99.1882
644acdf0a6ac80d10e86054e,Hensley,Arkansas,34.5068,-92.2069
644acdf0a6ac80d10e860548,Melia,Nebraska,41.0971,-96.2768
644acdf0a6ac80d10e860538,Riverview Estates,Missouri,38.7489,-94.5246
644acdf0a6ac80d10e860538,Wasola,Missouri,36.7857,-92.5685
644acdf0a6ac80d10e860548,Berwyn,Nebraska,41.3509,-99.5007
644acdf0a6ac80d10e86052e,Musella,Georgia,32.8009,-84.0334
644acdf0a6ac80d10e860529,Woody,California,35.7081,-118.8145
644acdf0a6ac80d10e860533,Thorp,Washington,47.0656,-120.6709
644acdf0a6ac80d10e86053e,Ebony,Virginia,36.5759,-77.9839
644acdf0a6ac80d10e860535,Kirk,Colorado,39.6127,-102.592
644acdf0a6ac80d10e860559,Maverick Mountain,Montana,45.4182,-113.1109
644acdf0a6ac80d10e860559,Happys Inn,Montana,48.0638,-115.135
644acdf0a6ac80d10e860556,Salt Rock,West Virginia,38.3243,-82.2172
644acdf0a6ac80d10e860556,Huntersville,West Virginia,38.186,-80.0152
644acdf0a6ac80d10e860549,Taos Ski Valley,New Mexico,36.5901,-105.437
644acdf0a6ac80d10e860532,Eagle River,Michigan,47.41,-88.2647
